,child_mortality,disabled_total_by_age,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,feel uncomfortable while living,size of living space,population,gross_regional_product,regional_production,retail_turnover_per_capita,newborn_monthly,crimes,morbidity_age_disease,drug+alco,cluster
Республика Коми,42.666666666666664,751530.5,15.516666666666667,20.533333333333335,33560.5,38.15,7.275,54.599999999999994,14.2,15.5,843898.3333333334,744506.9166666666,971641471.4883333,184454.0,9487.498333333333,1068.4,493715.4,112.025,1
Тверская область,68.16666666666667,1179576.25,12.250000000000002,20.483333333333334,25350.833333333332,37.474999999999994,7.375000000000001,55.1,12.7,17.5,1288417.0,337899.6333333333,653690800.57,176855.16666666666,12443.998333333331,1208.0,427258.60000000003,57.625,3
Республика Тыва,65.5,247812.0,35.11666666666666,20.400000000000002,16124.166666666666,45.675,4.4,49.925000000000004,19.8,13.6,320248.6666666667,209876.18333333335,43017622.81666667,72654.5,6860.996666666666,530.4000000000001,239915.35000000003,75.25,0
Красноярский край,209.5,2127244.0,17.716666666666665,20.366666666666667,29723.833333333332,38.875,5.6000000000000005,55.5,12.9,16.6,2869557.0,769992.4,3500292694.686667,183934.0,34908.496666666666,3174.6,327333.65,107.875,2
Тамбовская область,30.833333333333332,1329181.0,10.5,20.349999999999998,26593.833333333332,34.85,5.55,59.6,13.8,19.7,1034884.8333333334,331439.98333333334,294661645.9166667,190860.66666666666,8793.0,731.3999999999999,355358.9,55.325,3
Томская область,58.0,715781.0,14.766666666666667,20.26666666666667,27370.5,40.225,4.5,55.3,10.5,16.9,1077516.5,516610.05,659991716.5,143608.0,12284.666666666666,1048.1999999999998,331804.0,60.275,3
Липецкая область,56.666666666666664,1424661.25,8.833333333333334,20.216666666666665,29782.0,39.45,5.7,54.875,13.5,16.5,1150631.0,474522.5833333333,1188892379.015,214910.33333333334,11376.664999999999,712.2,283504.45,85.8,3
Республика Хакасия,40.166666666666664,334340.25,18.849999999999998,20.200000000000003,21181.5,39.599999999999994,4.6,55.775000000000006,17.0,17.9,536364.5,423478.8833333333,346482228.8333333,154251.5,6555.829999999999,623.8,353712.14999999997,101.69999999999999,0
Рязанская область,54.5,1590837.5,12.933333333333332,19.900000000000002,25233.333333333332,34.6,7.075,58.349999999999994,7.3,19.0,1122789.6666666667,356483.30000000005,575617032.455,169316.83333333334,10776.998333333333,638.0,366019.05,84.35,3
Республика Адыгея (Адыгея),25.333333333333332,402977.25,13.033333333333331,19.583333333333332,26924.666666666668,40.075,9.6,50.35,27.4,19.6,454204.1666666667,252367.95000000004,94795842.88333333,198746.16666666666,4829.83,289.0,270968.5,62.0,0
