,child_mortality,disabled_total_by_age,morbidity_age_disease_17,morbidity_age_disease_18,poverty_percent_by_regions,welfare_expense_share,cash_real_income_wages,Number of children,Pensioners,Working-age population,do not feel constrained when living,feel uncomfortable while living,experience great discomfort while living,did not answer,total area size,size of living space,number of rooms,population,gross_regional_product,regional_production,retail_turnover_per_capita,minors,group of people,criminal community,drug,alco,newborn_monthly
Ростовская область,257.1666666666667,4256103.5,305683.0,64254.8,13.666666666666666,24.016666666666666,28582.5,40.375,4.925000000000001,54.7,83.6,12.8,3.5,0.0,25.8,18.2,2.8,4221671.333333333,351332.98333333334,1708080735.793333,214710.83333333334,1066.2,2220.6,11.0,10.149999999999999,30.15,43224.14833333332
г. Севастополь,19.166666666666668,240230.0,239135.75,36059.45,11.85,12.766666666666666,26865.833333333332,42.400000000000006,4.25,53.3,73.5,19.7,6.8,0.0,21.5,13.7,2.2,428834.8333333333,240593.1,41201572.36666667,138595.16666666666,71.0,154.6,4.2,27.15,82.3,4763.831666666666
Республика Дагестан,451.0,3525310.5,206946.5,60390.55,13.75,25.233333333333334,26623.333333333332,39.89999999999999,6.525,53.55,73.8,23.3,2.8,0.1,29.9,22.5,3.6,3051466.6666666665,215723.86666666667,110377021.80166668,194877.16666666666,266.0,701.4,10.6,9.6,14.850000000000001,49658.65666666667
Республика Ингушетия,64.66666666666667,647907.0,202754.35,43533.05,29.950000000000003,25.8,16064.166666666666,39.8,9.25,50.925,94.4,5.0,0.0,0.7,38.2,27.8,4.9,484940.0,129910.5,9098626.299999999,48744.833333333336,25.0,85.0,2.4,1.9500000000000002,0.1,8195.664999999999
Кабардино-Балкарская Республика,63.5,684405.5,164190.95,30844.15,24.033333333333335,22.933333333333334,20569.666666666668,35.325,10.975000000000001,53.725,71.0,26.1,3.0,0.0,25.8,18.9,3.3,864635.6666666666,181829.18333333335,72963425.62666667,144715.83333333334,143.6,339.6,5.4,10.3,52.85,11227.996666666666
Карачаево-Черкесская Республика,38.0,606023.0,187656.7,52172.9,23.183333333333334,20.85,18200.166666666668,34.925000000000004,9.2,55.875,71.0,23.2,5.8,0.0,24.3,18.3,2.9,466780.8333333333,179795.13333333333,70180486.93333334,80546.66666666667,86.2,293.4,16.0,5.7,26.6,5287.991666666666
Республика Северная Осетия — Алания,56.333333333333336,777092.5,254033.4,57058.85,14.100000000000001,21.416666666666668,23077.5,34.7,9.4,55.925000000000004,68.8,18.5,12.7,0.0,23.7,16.4,3.1,701688.6666666666,225585.8833333333,52358609.083333336,158091.0,83.6,216.8,2.0,7.2,44.349999999999994,9185.833333333334
Чеченская Республика,253.16666666666666,1881876.25,112481.4,55920.899999999994,19.266666666666666,27.316666666666666,23330.5,46.02499999999999,6.6499999999999995,47.324999999999996,80.4,18.2,1.4,0.0,24.6,19.2,4.3,1425327.1666666667,149513.86666666667,58690304.666666664,114256.33333333333,11.4,91.0,0.0,0.7,3.55,29996.479999999996
Ставропольский край,229.0,2516924.25,233531.90000000002,40646.55,14.266666666666667,25.683333333333334,22733.166666666668,39.099999999999994,4.475,56.4,82.8,14.1,3.1,0.0,26.9,19.0,2.8,2800823.8333333335,270442.3,635845935.155,176017.5,729.4,1075.0,119.8,4.0,24.05,31900.819999999996
Республика Башкортостан,310.6666666666667,3059570.5,292481.85,65263.15,12.25,18.833333333333332,28903.333333333332,40.1,5.5,54.425,77.4,17.9,4.5,0.2,23.3,17.4,2.4,4060412.0,390023.9833333334,2604460357.8149996,211802.16666666666,1048.6,1462.6,19.8,5.875,66.8,49069.81833333333
